SEF_DCM_Name|SEF_DCM_LEI|Trade_Date|Effective_Date|Internal_Prod_ID|Internal_Prod_Des|Asset_Class|Base_Prod|Sub_Prod|Tran_Type|Contract_Type|Curr_Code|Setl_Method|UPI|Block_Flag|Option_Flag|DCO_Name|DCO_LEI|Premium_Volatility_Other_Flag|First_Price|High_Price|Low_Price|Last_Price|Traded_Currency|Notional_Traded_Currency_DA|Notional_Traded_Currency_NDA|Total_Notional_USD_DA|Cleared_Notional_USD_DA|Un_Cleared_Notional_USD_DA|Total_Notional_USD_NDA|Cleared_Notional_USD_NDA|Un_Cleared_Notional_USD_NDA|Total_Trade_Count|Cleared_Trade_Count|Un_Cleared_Trade_Count
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585779|"2M USD vs. CNH Put at a delta of 50"|FX|O||USDCNH||USD|CASH||N|N|||P|216875|216875|216875|216875|USD|1250000000|25000000|1250000000|0|1250000000|25000000|0|25000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585780|"2M USD vs. CNH Call at a delta of 50"|FX|O||USDCNH||USD|CASH||N|N|||P|210625|210625|210625|210625|USD|1250000000|25000000|1250000000|0|1250000000|25000000|0|25000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585782|"ON USD vs. JPY Put at a strike of 106.5"|FX|O||USDJPY||USD|CASH||N|N|||P|46250|46250|27750|32250|USD|140000000.0|140000000|140000000|0|140000000|140000000|0|140000000|4|0|4
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585783|"OD USD vs. JPY Put at a strike of 106.3"|FX|O||USDJPY||USD|CASH||N|N|||P|101250|101250|60750|60750|USD|80000000.0|80000000|80000000|0|80000000|80000000|0|80000000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585786|"2W AUD vs. CAD Put at a strike of 0.947"|FX|O||AUDCAD||AUD|CASH||N|N|||P|95250|95250|95250|95250|AUD|30000000.0|30000000|21789000|0|21789000|21789000|0|21789000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585788|"OD USD vs. JPY Call at a strike of 104.5"|FX|O||USDJPY||USD|CASH||N|N|||P|60000|60000|60000|60000|USD|100000000.0|100000000|100000000|0|100000000|100000000|0|100000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585789|"2W USD vs. JPY Call at a strike of 105"|FX|O||USDJPY||USD|CASH||N|N|||P|222500|222500|222500|222500|USD|100000000.0|100000000|100000000|0|100000000|100000000|0|100000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585792|"2W USD vs. JPY Put at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|83625|83625|83625|83625|USD|750000000|15000000|750000000|0|750000000|15000000|0|15000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585793|"2W USD vs. JPY Call at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|79125|79125|79125|79125|USD|750000000|15000000|750000000|0|750000000|15000000|0|15000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585794|"ON EUR vs. USD Put at a strike of 1.1835"|FX|O||EURUSD||EUR|CASH||N|N|||P|172500|172500|172500|172500|EUR|50000000.0|50000000|59069996|0|59069996|59069996|0|59069996|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585796|"1M USD vs. CHF Put at a delta of 50"|FX|O||USDCHF||USD|CASH||N|N|||P|84500|84500|84500|84500|USD|500000000|10000000|500000000|0|500000000|10000000|0|10000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585797|"1M USD vs. CHF Call at a delta of 50"|FX|O||USDCHF||USD|CASH||N|N|||P|84500|84500|84500|84500|USD|500000000|10000000|500000000|0|500000000|10000000|0|10000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585798|"OD USD vs. CNH Put at a strike of 6.94"|FX|O||USDCNH||USD|CASH||N|N|||P|19500|19500|19500|19500|USD|30000000.0|30000000|30000000|0|30000000|30000000|0|30000000|1|0|1
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585800|"OD AUD vs. NZD Put at a strike of 1.086"|FX|O||AUDNZD||AUD|CASH||N|N|||P|243750|243750|81250|81250|AUD|200000000.0|200000000|145260000|0|145260000|145260000|0|145260000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585801|"3W AUD vs. NZD Call at a strike of 1.102"|FX|O||AUDNZD||AUD|CASH||N|N|||P|375000|375000|125000|125000|AUD|200000000.0|200000000|145260000|0|145260000|145260000|0|145260000|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585804|"3M EUR vs. CZK Put at a delta of 50"|FX|O||EURCZK||EUR|CASH||N|N|||P|105750|158625|105750|158625|EUR|1250000000|25000000|1476749950|0|1476749950|29534998|0|29534998|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585805|"3M EUR vs. CZK Call at a delta of 50"|FX|O||EURCZK||EUR|CASH||N|N|||P|109250|163875|109250|163875|EUR|1250000000|25000000|1476749950|0|1476749950|29534998|0|29534998|2|0|2
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585807|"2M USD vs. JPY Put at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|113250|682500|56875|56875|USD|5500000000|110000000|5500000300|0|5500000300|110000000|0|110000000|6|0|6
Tradition SEF Inc.|549300MBO45EHETL4438|20200827|20200827|585808|"2M USD vs. JPY Call at a delta of 50"|FX|O||USDJPY||USD|CASH||N|N|||P|109500|654000|54500|54500|USD|5500000000|110000000|5500000300|0|5500000300|110000000|0|110000000|6|0|6
